fileId,time,xPos,yPos,zPos,leftSide,leftForward,centralForward,rightForward,rightSide,leftSideDistance,leftForwardDistance,centralForwardDistance,rightForwardDistance,rightSideDistance,zone,movingForward,moveForwardInput,moveBackwardsInput,moveLeftInput,moveRightInput,state
5231043,238.2868,15.58,1.01,4.62,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0,False
5231043,238.2868,15.58,1.01,4.62,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.3068,15.58,1.008668,4.620001,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0,False
5231043,238.3307,15.58,1.00187,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.3491,15.58,0.9929146,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.3681,15.58,0.98015,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.3873,15.58,0.9637346,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.4063,15.58,0.9438791,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.4253,15.58,0.9206088,4.620001,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.446,15.58,0.89142,4.619941,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.4664,15.57999,0.8743409,4.619049,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.486,15.58002,0.8817458,4.617362,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.5156,15.58005,0.8820306,4.61737,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0,False
5231043,238.5352,15.57919,0.8813618,4.618173,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0,False
5231043,238.555,15.57964,0.8823903,4.617634,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.5749,15.58051,0.8818144,4.616702,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.5953,15.58019,0.8825212,4.617115,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0,False
5231043,238.6171,15.57925,0.881609,4.617923,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0,False
5231043,238.6376,15.57979,0.8826821,4.617395,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.6578,15.58063,0.8815711,4.616496,False,False,False,False,False,5,5,5,5,5,1,False,False,False,False,False,0,False
5231043,238.6779,15.58009,0.8827009,4.617169,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0,False
5231043,238.6984,15.57916,0.8814962,4.617928,False,False,False,False,False,5,5,5,5,5,1,True,False,False,False,False,0,False
